top - 19:45:01 up 10:45,  1 user,  load average: 1.64, 1.64, 1.49
Tasks: 325 total,   3 running, 304 sleeping,  18 stopped,   0 zombie
%Cpu(s): 45.8 us, 13.9 sy,  0.0 ni, 12.5 id, 26.4 wa,  0.0 hi,  1.4 si,  0.0 st
MiB Mem :   3863.2 total,    119.6 free,   2712.2 used,   1031.4 buff/cache
MiB Swap:   9537.0 total,   8284.6 free,   1252.4 used.    480.3 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 7137 balakri+  20   0  544452  51256  34140 S   0.0   1.3   0:01.57 chrome
 7141 balakri+  20   0  572920  70180  38108 S   0.0   1.8   0:39.40 chrome
 7146 balakri+  20   0  547792  50972  35612 S   0.0   1.3   0:02.01 chrome
 7148 balakri+  20   0  551100  58012  33520 S   0.0   1.5   0:01.76 chrome
 7252 balakri+  20   0  526520  38908  30108 S   0.0   1.0   0:00.48 chrome
 7262 balakri+  20   0  544444  49180  33532 S   0.0   1.2   0:01.24 chrome
 7348 balakri+  20   0 1206112 250456  60688 S   0.0   6.3   8:05.79 chrome
 7403 balakri+  20   0 1323480 178400  62740 S   0.0   4.5   2:55.40 chrome
 7571 balakri+  20   0  616856  75232  42948 S   0.0   1.9   0:18.54 chrome
 8081 balakri+  20   0  544556  37996  32324 S   0.0   1.0   0:00.83 chrome
 8116 balakri+  20   0  606268  51388  37120 S   0.0   1.3   0:25.70 chrome
 8157 balakri+  20   0  611576  43524  35576 S   0.0   1.1   0:26.04 chrome
 8211 balakri+  20   0  588336  74800  41796 S   0.0   1.9   0:22.27 chrome
 8332 balakri+  20   0  914460  33216  16644 S   0.0   0.8   0:48.11 gnome-ter+
 8342 balakri+  20   0   11816   2980   1928 S   0.0   0.1   0:00.27 bash
 8560 balakri+  20   0    9428   1760   1512 T   0.0   0.0   0:00.00 bash
 8561 balakri+  20   0   11900   2656   2084 T   0.0   0.1   0:00.20 top
 8562 balakri+  20   0   13828   1684   1464 T   0.0   0.0   0:00.00 awk
 8614 balakri+  20   0    9428   1904   1660 T   0.0   0.0   0:00.00 bash
 8615 balakri+  20   0   11904   2728   2092 T   0.0   0.1   0:00.04 top
 8616 balakri+  20   0    8072    452    384 T   0.0   0.0   0:00.00 tail
 8617 balakri+  20   0   13696   1668   1448 T   0.0   0.0   0:00.00 awk
 8662 balakri+  20   0  544648  50020  34980 S   0.0   1.3   0:01.82 chrome
 8672 balakri+  20   0  540360  48500  35584 S   0.0   1.2   0:01.14 chrome
 8736 balakri+  20   0  664472  74244  41536 S   0.0   1.9   0:59.63 chrome
 8748 balakri+  20   0  618268  92164  43936 S   0.0   2.3   0:33.81 chrome
 8766 balakri+  20   0  538568  37352  31152 S   0.0   0.9   0:00.83 chrome
 8793 balakri+  20   0  558540  59320  38348 S   0.0   1.5   0:03.12 chrome
 8794 balakri+  20   0  539076  37456  30760 S   0.0   0.9   0:00.80 chrome
 8896 balakri+  20   0    9428   1832   1584 T   0.0   0.0   0:00.00 bash
 8897 balakri+  20   0   11904   2728   2092 T   0.0   0.1   0:00.07 top
 9103 balakri+  20   0  583032  61056  36604 S   0.0   1.5   0:25.37 chrome
 9115 balakri+  20   0  540512  39572  33064 S   0.0   1.0   0:00.66 chrome
 9804 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
 9964 balakri+  20   0   11816   4964   2300 S   0.0   0.1   0:00.13 bash
10172 balakri+  20   0  575328  72376  39208 S   0.0   1.8   0:08.02 chrome
10535 balakri+  20   0  681784 101004  44984 S   0.0   2.6   0:44.85 chrome
10930 balakri+  20   0  616840  87012  43228 S   0.0   2.2   0:31.65 chrome
10960 balakri+  20   0  537028  48128  36308 S   0.0   1.2   0:03.94 chrome
10970 balakri+  20   0  525496  44704  34356 S   0.0   1.1   0:00.26 chrome
10984 balakri+  20   0  525496  44212  33916 S   0.0   1.1   0:00.25 chrome
11014 balakri+  20   0   11816   5044   2376 S   0.0   0.1   0:00.10 bash
14761 root      20   0       0      0      0 I   0.0   0.0   0:03.95 kworker/1+
15171 balakri+  20   0  168220   5236   4372 S   0.0   0.1   0:00.02 oosplash
15189 balakri+  20   0 1454248 185116  62524 S   0.0   4.7   1:06.77 soffice.b+
15251 root      20   0       0      0      0 I   0.0   0.0   0:05.23 kworker/2+
15327 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker/0+
15802 root      20   0       0      0      0 I   0.0   0.0   0:02.82 kworker/u+
15831 balakri+  20   0    8044    556    492 T   0.0   0.0   0:00.00 rev
15981 balakri+  20   0    8076    524    460 T   0.0   0.0   0:00.00 factor
16622 root      20   0       0      0      0 I   0.0   0.0   0:00.36 kworker/0+
16641 root      20   0       0      0      0 I   0.0   0.0   0:00.54 kworker/3+
16753 root      20   0       0      0      0 I   0.0   0.0   0:01.19 kworker/u+
17227 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
17252 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
17255 root      20   0       0      0      0 I   0.0   0.0   0:00.72 kworker/u+
17492 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
